text,topic,likes
"Sundar the cult leader:
“Christmas”
“Energy, children”
“Christmas ghost”
What did you work on that witch called Jewelia? 
Sundar Pichai is a cult leader, just check Tarot Readings on YouTube, Google also hacked your DNA.
What did you do Sundar?",AI,0
"Sundar are you deaf by any chance?
“You thought no one was looking into this, ‘someone’ from the ‘military’ wearing black was looking in to this and say: huh, caught you” did you again caught yourself Sundar. Sundar what is this Tarot Reading voice “I’m sorry, I’m sorry please do not put me in prison” 
Apology not accepted, and did you also tried to change destinies with FBI and Mo Hawk? I am not going into prison nor any other person for your crimes, did you get that? (Sundar’s small mind: She is in prison, you will get your abundance) Uhh no. And I am still very alive Sundar, I am not you you are not me, can you get that? Currently what you are doing Sundar, trying to manipulate the situation to get your abundance, and DNA timelines in YouTube, and mind hacking billions.
Your game is dead Sundar. I am not your mother, not your mother-in-law, you are corrupt beyond any people on Earth, I am not your wife, I am not your mistress, I have never been in any relationship with you, and you do not know me at all. Did you get that in your head? Did you understand that we know it is not government or any other party, it is you Sundar Pichai. 
So you do not know when to stop targeting or attacking people, and do not understand that you have already failed. 
“Do not tell the government, you will get targeted” did you tell on yourself on the crime Sundar? 
Only reason I came back to this video is for you to not kill anyone else again instead of you, can you get it? 
Sundar, stop. You are beyond repair.
I caught you, if you really want to hear that, again all of “this person/someone/somebody/somebody else/someone else” is you trying to destiny swap with people Sundar Pichai. 
The consequences of your actions are piling up Sundar Pichai, about working on disruptions on society, you are the one creating them. So, a liar who in the background is killing people, the evil beyond all: you will never get it. 
At least stop the torture, because you will never develop any common sense in your lifetime Sundar. 
Stop stealing, killing, torturing, forcing people to work on your behalf of human Colonization, Tech slavery, mindless torture. Stop trying to “flip stories” to get out of the crime Sundar, it’s you who committed the crime. “Whose idea was this?”-Tries to be the creator of the universe torturing people, some ‘creator’ you are. And actually spills the beans on he was the one that thought of the crime.
So when exacly people will be saved from you?",AI,0
Ai will help their billionaire owners find new ways to suppress the masses and extract every last dime from them.,AI,0
"This was an awesome interview. Gotta give it to the BBC and Sundar to so adeptly cover such a wide range of topics , talk about uncomfortable truths ( there will be some AI over-investment hiccups, the energy goals Google had set vs reality), the way to handle this change ( adapt and view AI as a tool) and the promise this holds for the future! Thanks Faisal , Sundar",AI,0
"Guy should be sacked and blacklisted, he like everyone else is a criminal against humanity",AI,0
This is the terrorist who tried to murder me and started the LA fire.,AI,0
"Hey Google CEO, remember the time you tried to frame me? Were you expecting a DNA swapping? Is it your higher consciousness coming from “Verdic Astrology” opening up PORTALS with a Tarot Reader called Jewelia. YouTube CEO, Apple CEO whatever CEO you are you are filthy worthless creatures who do not deserve anything in life? Why are you alive after Destroying people’s lives for 10 years and trying to overthrow governments. Oh you miscalculated the time you were going to shoot me in the head and killed Ayşenur Ezgi Eygi instead by “Hitman” codes. 
“She was a writer, philosopher, … (codes) She was very intelligent. I’m hearing CIA/FBI. It was someone else (code of someone/this person/someone else/somebody is all Google body swapping and monitoring people). She knew too much. She was shot in the head” 
Killer.",AI,0
Why is AI Fearfull ? Iff answer have of ? Virous ? Charectore ? Crorona=?? Medicin ? Immunity frome Hearbal Even ? Virous = ?,AI,0
Aall the domestic and agrow over only one Ancient Guru have Right full Tradmark hollmark ?,AI,0
"Capital+Skills=A structurs of Required"" aall persons Invested efforts to Build Structer= Satisfections every one for are ? Wages start to Eand At a Times When Property is for Third Party and is Satisfied=Prise of Buying Payble Ok=rewards of aall for at a Times"" a price of Product""s after Getkeper to drivers and Mechines oprators to Maneger for Salary payment"" is needs Cycle Jobe's Continuity comprative ? Supportive Insularies small Industris Fraindly Personaly Maneged"" butt a Responsible Unit of productions"" aask Free+Adopted= Output Faster then one place Processing"" freedomes of where liking jobes to feells your place"" butt Availables Roots of Jobes Network by Big Industry required moore Raw to Sami products"" combined Eccelerat Input to Exit a Systemes liked Raw Stone To Bulding Chips productions for a Unit of Raw Stone Picess"" or Agrow to MNC Co. Styils Local powers Including Equvalants Thes Domenitive On way Marketing"" And See Baba Ramdev namely Fame of Ancient figure under aall Agrow to Consumers Trust weeaning immotionaly Frome Hiden National Loost Find and pay immotionaly against National+State Love Vallue must"" personal=??",AI,0
"I  hope regulators will step in and set clear boundaries for Big Tech. We are already living with the consequences of failing to regulate social media algorithms — systems that have not only threatened democratic processes but also fueled addiction among millions of people. We cannot afford to repeat that mistake with AI.
I find Hassabis’ comment that he “believes human ingenuity will find solutions” to AI misuse and technical risks somewhat unconvincing. At the current pace of AI development, relying on human creativity alone is simply not enough. The responsibility of the companies building these systems is enormous, and the cost of getting it wrong could be catastrophic for humanity. Hope is not a strategy — we need concrete safeguards, accountability, and much stronger oversight.",AI,0
"No Sundar we don't demand you or any other competitor to race towards madness, let's slow down! We don't demand shit",AI,0
"Here is a gift my agentic AI found and bought to you, to show you how i love you..",AI,0
So will we ask AI bots to shop for our spouses 😂,AI,0
"AI CEO’s have decided that environmental damage is no longer a priority, no longer a concern because it would get in the way of their AI development, profits and power.",AI,0
Social disruptions?   Does anyone know what this actually mean?  It’s far more bleak than what is sugar coated in this “documentary”,AI,0
It’s takes a lot to lead a global company at the forefront of technology. Sundar has great temperament handling all this at the top.,AI,0
Utmost class instead of falling to the level of “we’re going to make another company dance”,AI,0
"According to Center for AI Safety (CAIS) AI risk has emerged as a global priority, ranking alongside pandemics and nuclear war",AI,0
Sundar Pichai is a CEO of a greedy American company which has the potential to enslave the human race. Uncontrolled AI could be more dangerous than pandemic. or nuclear war. Wake up. Control and put the legislation in place to tame the monster AI. otherwise it will destroy the human race.,AI,0
"I have watched lot of his interviews. Let me break down his structure. Firstly, he’ll become extremely passive and you’ll think he is calm and composed. Superficially he is but not in real terms. Secondly, he’ll start agreeing on everything so you won’t try to contradict him much and not try to dig into that question. Besides that, he knows how destructive AI is, but in order to secure his job and life he can’t talk about it much. Just listen this interview with high alertness. He is extremely anxious. Try to observe his body language. He’s not confident at all. Just pretending to be. He is trying hard to justify so called AI. Other than that, certainly he has to do this because there are many players above him. He is just a scapegoat.",AI,0
