text,topic,likes,clean_text,label
"Sundar the cult leader:
“Christmas”
“Energy, children”
“Christmas ghost”
What did you work on that witch called Jewelia? 
Sundar Pichai is a cult leader, just check Tarot Readings on YouTube, Google also hacked your DNA.
What did you do Sundar?",AI,0,sundar cult leader christmas energy children christmas ghost work witch called jewelia sundar pichai cult leader check tarot readings youtube google also hacked dna sundar,2
"Sundar are you deaf by any chance?
“You thought no one was looking into this, ‘someone’ from the ‘military’ wearing black was looking in to this and say: huh, caught you” did you again caught yourself Sundar. Sundar what is this Tarot Reading voice “I’m sorry, I’m sorry please do not put me in prison” 
Apology not accepted, and did you also tried to change destinies with FBI and Mo Hawk? I am not going into prison nor any other person for your crimes, did you get that? (Sundar’s small mind: She is in prison, you will get your abundance) Uhh no. And I am still very alive Sundar, I am not you you are not me, can you get that? Currently what you are doing Sundar, trying to manipulate the situation to get your abundance, and DNA timelines in YouTube, and mind hacking billions.
Your game is dead Sundar. I am not your mother, not your mother-in-law, you are corrupt beyond any people on Earth, I am not your wife, I am not your mistress, I have never been in any relationship with you, and you do not know me at all. Did you get that in your head? Did you understand that we know it is not government or any other party, it is you Sundar Pichai. 
So you do not know when to stop targeting or attacking people, and do not understand that you have already failed. 
“Do not tell the government, you will get targeted” did you tell on yourself on the crime Sundar? 
Only reason I came back to this video is for you to not kill anyone else again instead of you, can you get it? 
Sundar, stop. You are beyond repair.
I caught you, if you really want to hear that, again all of “this person/someone/somebody/somebody else/someone else” is you trying to destiny swap with people Sundar Pichai. 
The consequences of your actions are piling up Sundar Pichai, about working on disruptions on society, you are the one creating them. So, a liar who in the background is killing people, the evil beyond all: you will never get it. 
At least stop the torture, because you will never develop any common sense in your lifetime Sundar. 
Stop stealing, killing, torturing, forcing people to work on your behalf of human Colonization, Tech slavery, mindless torture. Stop trying to “flip stories” to get out of the crime Sundar, it’s you who committed the crime. “Whose idea was this?”-Tries to be the creator of the universe torturing people, some ‘creator’ you are. And actually spills the beans on he was the one that thought of the crime.
So when exacly people will be saved from you?",AI,0,sundar deaf chance thought one looking someone military wearing black looking say huh caught caught sundar sundar tarot reading voice im sorry im sorry please put prison apology accepted also tried change destinies fbi mo hawk going prison person crimes get sundars small mind prison get abundance uhh still alive sundar get currently sundar trying manipulate situation get abundance dna timelines youtube mind hacking billions game dead sundar mother motherinlaw corrupt beyond people earth wife mistress never relationship know get head understand know government party sundar pichai know stop targeting attacking people understand already failed tell government get targeted tell crime sundar reason came back video kill anyone else instead get sundar stop beyond repair caught really want hear personsomeonesomebodysomebody elsesomeone else trying destiny swap people sundar pichai consequences actions piling sundar pichai working disruptions society one creating liar background killing people evil beyond never get least stop torture never develop common sense lifetime sundar stop stealing killing torturing forcing people work behalf human colonization tech slavery mindless torture stop trying flip stories get crime sundar committed crime whose idea thistries creator universe torturing people creator actually spills beans one thought crime exacly people saved,0
Ai will help their billionaire owners find new ways to suppress the masses and extract every last dime from them.,AI,0,ai help billionaire owners find new ways suppress masses extract every last dime,1
"This was an awesome interview. Gotta give it to the BBC and Sundar to so adeptly cover such a wide range of topics , talk about uncomfortable truths ( there will be some AI over-investment hiccups, the energy goals Google had set vs reality), the way to handle this change ( adapt and view AI as a tool) and the promise this holds for the future! Thanks Faisal , Sundar",AI,0,awesome interview gotta give bbc sundar adeptly cover wide range topics talk uncomfortable truths ai overinvestment hiccups energy goals google set vs reality way handle change adapt view ai tool promise holds future thanks faisal sundar,1
"Guy should be sacked and blacklisted, he like everyone else is a criminal against humanity",AI,0,guy sacked blacklisted like everyone else criminal humanity,0
This is the terrorist who tried to murder me and started the LA fire.,AI,0,terrorist tried murder started la fire,2
"Hey Google CEO, remember the time you tried to frame me? Were you expecting a DNA swapping? Is it your higher consciousness coming from “Verdic Astrology” opening up PORTALS with a Tarot Reader called Jewelia. YouTube CEO, Apple CEO whatever CEO you are you are filthy worthless creatures who do not deserve anything in life? Why are you alive after Destroying people’s lives for 10 years and trying to overthrow governments. Oh you miscalculated the time you were going to shoot me in the head and killed Ayşenur Ezgi Eygi instead by “Hitman” codes. 
“She was a writer, philosopher, … (codes) She was very intelligent. I’m hearing CIA/FBI. It was someone else (code of someone/this person/someone else/somebody is all Google body swapping and monitoring people). She knew too much. She was shot in the head” 
Killer.",AI,0,hey google ceo remember time tried frame expecting dna swapping higher consciousness coming verdic astrology opening portals tarot reader called jewelia youtube ceo apple ceo whatever ceo filthy worthless creatures deserve anything life alive destroying peoples lives years trying overthrow governments oh miscalculated time going shoot head killed ayenur ezgi eygi instead hitman codes writer philosopher codes intelligent im hearing ciafbi someone else code someonethis personsomeone elsesomebody google body swapping monitoring people knew much shot head killer,0
Why is AI Fearfull ? Iff answer have of ? Virous ? Charectore ? Crorona=?? Medicin ? Immunity frome Hearbal Even ? Virous = ?,AI,0,ai fearfull iff answer virous charectore crorona medicin immunity frome hearbal even virous,2
Aall the domestic and agrow over only one Ancient Guru have Right full Tradmark hollmark ?,AI,0,aall domestic agrow one ancient guru right full tradmark hollmark,1
"Capital+Skills=A structurs of Required"" aall persons Invested efforts to Build Structer= Satisfections every one for are ? Wages start to Eand At a Times When Property is for Third Party and is Satisfied=Prise of Buying Payble Ok=rewards of aall for at a Times"" a price of Product""s after Getkeper to drivers and Mechines oprators to Maneger for Salary payment"" is needs Cycle Jobe's Continuity comprative ? Supportive Insularies small Industris Fraindly Personaly Maneged"" butt a Responsible Unit of productions"" aask Free+Adopted= Output Faster then one place Processing"" freedomes of where liking jobes to feells your place"" butt Availables Roots of Jobes Network by Big Industry required moore Raw to Sami products"" combined Eccelerat Input to Exit a Systemes liked Raw Stone To Bulding Chips productions for a Unit of Raw Stone Picess"" or Agrow to MNC Co. Styils Local powers Including Equvalants Thes Domenitive On way Marketing"" And See Baba Ramdev namely Fame of Ancient figure under aall Agrow to Consumers Trust weeaning immotionaly Frome Hiden National Loost Find and pay immotionaly against National+State Love Vallue must"" personal=??",AI,0,capitalskillsa structurs required aall persons invested efforts build structer satisfections every one wages start eand times property third party satisfiedprise buying payble okrewards aall times price products getkeper drivers mechines oprators maneger salary payment needs cycle jobes continuity comprative supportive insularies small industris fraindly personaly maneged butt responsible unit productions aask freeadopted output faster one place processing freedomes liking jobes feells place butt availables roots jobes network big industry required moore raw sami products combined eccelerat input exit systemes liked raw stone bulding chips productions unit raw stone picess agrow mnc co styils local powers including equvalants thes domenitive way marketing see baba ramdev namely fame ancient figure aall agrow consumers trust weeaning immotionaly frome hiden national loost find pay immotionaly nationalstate love vallue must personal,1
